,epoch,acc,precision,recall,pred_acc_member,pred_acc_non_member,true_member,false_member,true_non_member,false_non_member
189,190,0.7266666666666667,0.6491228070175439,0.9866666666666667,tensor(0.9867),tensor(0.5333),148,80,70,2
190,191,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
191,192,0.7333333333333333,0.6548672566371682,0.9866666666666667,tensor(0.9867),tensor(0.5200),148,78,72,2
192,193,0.73,0.6519823788546255,0.9866666666666667,tensor(0.9867),tensor(0.5267),148,79,71,2
193,194,0.73,0.6519823788546255,0.9866666666666667,tensor(0.9867),tensor(0.5267),148,79,71,2
194,195,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
195,196,0.7333333333333333,0.6548672566371682,0.9866666666666667,tensor(0.9867),tensor(0.5200),148,78,72,2
196,197,0.73,0.6519823788546255,0.9866666666666667,tensor(0.9867),tensor(0.5267),148,79,71,2
197,198,0.7266666666666667,0.6491228070175439,0.9866666666666667,tensor(0.9867),tensor(0.5333),148,80,70,2
198,199,0.7266666666666667,0.6491228070175439,0.9866666666666667,tensor(0.9867),tensor(0.5333),148,80,70,2
199,200,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
200,201,0.73,0.6519823788546255,0.9866666666666667,tensor(0.9867),tensor(0.5267),148,79,71,2
201,202,0.73,0.6519823788546255,0.9866666666666667,tensor(0.9867),tensor(0.5267),148,79,71,2
202,203,0.7266666666666667,0.6491228070175439,0.9866666666666667,tensor(0.9867),tensor(0.5333),148,80,70,2
203,204,0.73,0.6519823788546255,0.9866666666666667,tensor(0.9867),tensor(0.5267),148,79,71,2
204,205,0.7333333333333333,0.6548672566371682,0.9866666666666667,tensor(0.9867),tensor(0.5200),148,78,72,2
205,206,0.73,0.6519823788546255,0.9866666666666667,tensor(0.9867),tensor(0.5267),148,79,71,2
206,207,0.7266666666666667,0.6491228070175439,0.9866666666666667,tensor(0.9867),tensor(0.5333),148,80,70,2
207,208,0.73,0.6519823788546255,0.9866666666666667,tensor(0.9867),tensor(0.5267),148,79,71,2
208,209,0.73,0.6519823788546255,0.9866666666666667,tensor(0.9867),tensor(0.5267),148,79,71,2
209,210,0.7266666666666667,0.6491228070175439,0.9866666666666667,tensor(0.9867),tensor(0.5333),148,80,70,2
210,211,0.7266666666666667,0.6491228070175439,0.9866666666666667,tensor(0.9867),tensor(0.5333),148,80,70,2
211,212,0.7266666666666667,0.6491228070175439,0.9866666666666667,tensor(0.9867),tensor(0.5333),148,80,70,2
212,213,0.7266666666666667,0.6491228070175439,0.9866666666666667,tensor(0.9867),tensor(0.5333),148,80,70,2
213,214,0.73,0.6519823788546255,0.9866666666666667,tensor(0.9867),tensor(0.5267),148,79,71,2
214,215,0.73,0.6519823788546255,0.9866666666666667,tensor(0.9867),tensor(0.5267),148,79,71,2
215,216,0.73,0.6519823788546255,0.9866666666666667,tensor(0.9867),tensor(0.5267),148,79,71,2
216,217,0.73,0.6519823788546255,0.9866666666666667,tensor(0.9867),tensor(0.5267),148,79,71,2
217,218,0.73,0.6519823788546255,0.9866666666666667,tensor(0.9867),tensor(0.5267),148,79,71,2
218,219,0.73,0.6519823788546255,0.9866666666666667,tensor(0.9867),tensor(0.5267),148,79,71,2
219,220,0.73,0.6519823788546255,0.9866666666666667,tensor(0.9867),tensor(0.5267),148,79,71,2
220,221,0.73,0.6519823788546255,0.9866666666666667,tensor(0.9867),tensor(0.5267),148,79,71,2
221,222,0.73,0.6519823788546255,0.9866666666666667,tensor(0.9867),tensor(0.5267),148,79,71,2
222,223,0.73,0.6519823788546255,0.9866666666666667,tensor(0.9867),tensor(0.5267),148,79,71,2
223,224,0.7266666666666667,0.6491228070175439,0.9866666666666667,tensor(0.9867),tensor(0.5333),148,80,70,2
224,225,0.7266666666666667,0.6491228070175439,0.9866666666666667,tensor(0.9867),tensor(0.5333),148,80,70,2
225,226,0.7266666666666667,0.6491228070175439,0.9866666666666667,tensor(0.9867),tensor(0.5333),148,80,70,2
226,227,0.7266666666666667,0.6491228070175439,0.9866666666666667,tensor(0.9867),tensor(0.5333),148,80,70,2
227,228,0.7266666666666667,0.6491228070175439,0.9866666666666667,tensor(0.9867),tensor(0.5333),148,80,70,2
228,229,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
229,230,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
230,231,0.7266666666666667,0.6491228070175439,0.9866666666666667,tensor(0.9867),tensor(0.5333),148,80,70,2
231,232,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
232,233,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
233,234,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
234,235,0.73,0.6519823788546255,0.9866666666666667,tensor(0.9867),tensor(0.5267),148,79,71,2
235,236,0.7266666666666667,0.6491228070175439,0.9866666666666667,tensor(0.9867),tensor(0.5333),148,80,70,2
236,237,0.7266666666666667,0.6491228070175439,0.9866666666666667,tensor(0.9867),tensor(0.5333),148,80,70,2
237,238,0.7266666666666667,0.6491228070175439,0.9866666666666667,tensor(0.9867),tensor(0.5333),148,80,70,2
238,239,0.7266666666666667,0.6491228070175439,0.9866666666666667,tensor(0.9867),tensor(0.5333),148,80,70,2
239,240,0.7266666666666667,0.6491228070175439,0.9866666666666667,tensor(0.9867),tensor(0.5333),148,80,70,2
240,241,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
241,242,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
242,243,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
243,244,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
244,245,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
245,246,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
246,247,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
247,248,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
248,249,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
249,250,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
250,251,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
251,252,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
252,253,0.7233333333333334,0.6462882096069869,0.9866666666666667,tensor(0.9867),tensor(0.5400),148,81,69,2
253,254,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
254,255,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
